creature,item,chance,min,max,source
Greydwarf_Elite,TrophyGreydwarfBrute,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Greydwarf_Frozen,TrophyGreydwarf,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Greydwarf_Shaman,TrophyGreydwarfShaman,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Greydwarf_Shaman_Frozen,TrophyGreydwarfShaman,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Hatchling,TrophyHatchling,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
JotunWarrior,TrophyJotunWarrior,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
JotunWarriorDualWield,TrophyJotunWarrior,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
JotunWitch,TrophyJotunWitch,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Leech,TrophyLeech,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Lox,TrophyLox,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Moose,TrophyMoose,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Morgen,TrophyMorgen,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Neck,TrophyNeck,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Seal,TrophySeal,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Seeker,TrophySeeker,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
SeekerBrute,TrophySeekerBrute,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
SeekerQueen,TrophySeekerQueen,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Serpent,TrophySerpent,0.33,1,1,kirilloid src/data/creatures.ts (build unstated)
Skeleton,BoneFragments,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Skeleton,TrophySkeleton,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Skeleton_Hildir,TrophySkeletonHildir,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Skeleton_Hildir_nochest,TrophySkeletonHildir,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Skeleton_Poison,BoneFragments,1.0,3,3,kirilloid src/data/creatures.ts (build unstated)
Skeleton_Poison,TrophySkeletonPoison,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
StoneGolem,TrophySGolem,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Surtling,SurtlingCore,0.5,1,1,kirilloid src/data/creatures.ts (build unstated)
Surtling,TrophySurtling,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Tick,TrophyTick,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Troll,Coins,1.0,20,30,kirilloid src/data/creatures.ts (build unstated)
Troll,TrophyFrostTroll,0.5,1,1,kirilloid src/data/creatures.ts (build unstated)
Ulv,TrophyUlv,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Unbjorn,TrophyBjornUndead,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Volture,TrophyVolture,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Wolf,TrophyWolf,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
Wraith,TrophyWraith,0.05,1,1,kirilloid src/data/creatures.ts (build unstated)
Writhan,TrophyWrithan,0.1,1,1,kirilloid src/data/creatures.ts (build unstated)
gd_king,TrophyTheElder,1.0,1,1,kirilloid src/data/creatures.ts (build unstated)
Bat,LeatherScraps,0.5,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Bat_Swamp,LeatherScraps,0.5,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Boar,LeatherScraps,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
BogWitchKvastur,Wood,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
BogWitchKvastur,Resin,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Chicken,Feathers,0.5,1,2,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Deer,DeerHide,1,1,3,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
FrostWisp,LeatherScraps,0.5,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf,Stone,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf,Wood,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf,Resin,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Elite,Stone,1,2,2,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Elite,Wood,1,3,5,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Frozen,Wood,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Frozen,Resin,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Shaman,Wood,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Shaman,Resin,1,1,2,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Shaman_Frozen,Wood,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greydwarf_Shaman_Frozen,Resin,1,1,2,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Greyling,Resin,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Hen,Feathers,1,1,3,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Lox,LoxPelt,1,2,3,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_aspect,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_DeepNorth,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_Meadows,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_Meadows_noarcher,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_Mountains,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_Mountains_noarcher,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_NoArcher,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_Swamps,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Skeleton_Swamps_noarcher,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
StoneGolem,Stone,1,5,10,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Troll,TrollHide,1,5,5,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Troll_sleeping,TrollHide,1,5,5,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Volture,Feathers,0.5,2,3,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
Wolf,WolfPelt,1,1,2,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
SkeletonMage_TW,BoneFragments,1,1,1,Drop That Debug before_changes dump (vanilla + mod creatures) 2026-09-24
