owner,item,min,max,chance,flags,id
GemTableTier4,Chain,1,2,1/200,,
GemTableTier4,SilverNecklace,1,1,1/320,,
GemTableTier4,Crystal,1,2,1/250,,
GemTableTier4,OSRS_LoopHalfKey,1,1,1/1024,,
GemTableTier4,OSRS_ToothHalfKey,1,1,1/1024,,
GemTableTier4,OSRS_RiddleStoneT2,1,1,1/512,,
RareTableTier2,Coins,20,60,2,key=defeated_bonemass,
RareTableTier2,SilverNecklace,1,1,1/500,key=defeated_bonemass,
RareTableTier2,OSRS_LoopHalfKey,1,1,1/256,,
RareTableTier2,OSRS_ToothHalfKey,1,1,1/256,,
RareTableTier2,OSRS_RiddleStoneT3,1,1,1/512,,
RareTableTier3,Coins,40,120,2.5,,
RareTableTier3,SilverNecklace,1,1,1/320,,
RareTableTier3,Chain,1,1,1/250,,
RareTableTier3,Ruby,2,4,1/320,,
RareTableTier3,OSRS_LoopHalfKey,1,1,1/256,,
RareTableTier3,OSRS_ToothHalfKey,1,1,1/256,,
RareTableTier3,OSRS_RiddleStoneT3,1,1,1/512,,
RareTableTier4,Coins,80,200,3,,
RareTableTier4,SilverNecklace,1,1,1/200,,
RareTableTier4,Ruby,3,6,1/250,,
RareTableTier4,Chain,2,3,1/200,,
RareTableTier4,OSRS_LoopHalfKey,1,1,1/256,,
RareTableTier4,OSRS_ToothHalfKey,1,1,1/256,,
RareTableTier4,OSRS_RiddleStoneT4,1,1,1/1024,,
RareTableTier5,Coins,120,300,3,,
RareTableTier5,SilverNecklace,1,1,1/160,,
RareTableTier5,Ruby,4,8,1/200,,
RareTableTier5,OSRS_LoopHalfKey,1,1,1/256,,
RareTableTier5,OSRS_ToothHalfKey,1,1,1/256,,
RareTableTier5,OSRS_RiddleStoneT4,1,1,1/1024,,
Greydwarf,OSRS_RiddleStoneT1,1,1,2,event,
Skeleton,OSRS_RiddleStoneT1,1,1,2,event,
Draugr,OSRS_RiddleStoneT2,1,1,2,event,
Wolf,OSRS_RiddleStoneT2,1,1,2,event,
Hatchling,OSRS_RiddleStoneT2,1,1,2,event,
Goblin,OSRS_RiddleStoneT3,1,1,1,event,
Seeker,OSRS_RiddleStoneT3,1,1,1,event,
Charred_Melee,OSRS_RiddleStoneT4,1,1,1,event,
Skeleton_NoArcher,OSRS_RiddleStoneT1,1,1,2,event,
Draugr_sleeping,OSRS_RiddleStoneT2,1,1,2,event,
