biome,creature,class,list,display
Plains,BlobTar,world,,Growth
Plains,GoblinMage_TW,roamer,GemTableTier3,Fuling mage
Mistlands,Seeker,roamer,GemTableTier3,Seeker
Mistlands,SeekerBrute,elite,RareTableTier3,Seeker soldier
Mistlands,Gjall,elite,RareTableTier3,Gjall
Mistlands,Tick,world,,Tick
Mistlands,Dverger,roamer,GemTableTier3,Dvergr rogue
Mistlands,DvergerMage,roamer,GemTableTier3,Dvergr mage
Mistlands,DvergerMageFire,roamer,GemTableTier3,Dvergr mage (fire)
Mistlands,DvergerMageIce,roamer,GemTableTier3,Dvergr mage (frost)
Mistlands,DvergerMageSupport,roamer,GemTableTier3,Dvergr mage (support)
Mistlands,CorruptedDvergerMage_TW,roamer,GemTableTier3,Corrupted dvergr mage
Ashlands,Charred_Melee,camped,GemTableTier4,Charred warrior
Ashlands,Charred_Archer,camped,GemTableTier4,Charred archer
Ashlands,Charred_Mage,camped,GemTableTier4,Charred mage
Ashlands,Charred_Twitcher,camped,,Charred twitcher
Ashlands,Charred_Melee_Dyrnwyn,elite,RareTableTier4,Lord Reto
Ashlands,Asksvin,roamer,GemTableTier4,Asksvin
Ashlands,Volture,roamer,,Volture
Ashlands,BlobLava,world,,Lava blob
Ashlands,Morgen,elite,RareTableTier4,Morgen
Ashlands,Morgen_NonSleeping,elite,RareTableTier4,Morgen
Ashlands,FallenValkyrie,elite,RareTableTier4,Fallen valkyrie
Ashlands,BonemawSerpent,elite,RareTableTier4,Bonemaw serpent
Ashlands,DvergerAshlands,roamer,GemTableTier4,Dvergr (Ashlands)
Deep North,Frysling,world,GemTableTier4,Frysling
Deep North,Greydwarf_Frozen,roamer,GemTableTier4,Frozen greydwarf
Deep North,Greydwarf_Shaman_Frozen,roamer,GemTableTier4,Frozen greydwarf shaman
Deep North,BlobFrost,world,,Frost blob
Deep North,BlobMork,camped,,Mork blob
Deep North,Moose,roamer,,Moose
Deep North,Seal,roamer,,Seal
Deep North,Elaking,camped,GemTableTier4,Elaking
Deep North,ElakingLantern,camped,GemTableTier4,Elaking lantern-bearer
Deep North,ElakingMole,roamer,GemTableTier4,Elaking mole
Deep North,GoblinDeepNorth,roamer,GemTableTier4,Fuling (Deep North)
Deep North,Skeleton_DeepNorth,world,GemTableTier4,Frozen skeleton
Deep North,DvergerDeepNorth,roamer,GemTableTier4,Dvergr (Deep North)
Deep North,Ghost_Void,world,,Void ghost
Black Forest,Bjorn,elite,GemTableTier1,Bjorn
Black Forest,Bjorn_sleeping,elite,GemTableTier1,Bjorn
Plains,Unbjorn,elite,RareTableTier3,Unbjorn
Deep North,JotunWarrior,elite,RareTableTier5,Jotun warrior
Deep North,JotunWarriorDualWield,elite,RareTableTier5,Jotun warrior (dual wield)
Deep North,JotunWitch,elite,RareTableTier5,Jotun witch
Deep North,Writhan,elite,RareTableTier5,Writhan
Deep North,Barka,elite,RareTableTier5,Barka
Hildir Minibosses,Skeleton_Hildir,elite,,Brenna
Hildir Minibosses,Skeleton_Hildir_nochest,elite,,Brenna
Hildir Minibosses,Fenring_Cultist_Hildir,elite,,Geirrhafa
Hildir Minibosses,Fenring_Cultist_Hildir_nochest,elite,,Geirrhafa
Hildir Minibosses,GoblinShaman_Hildir,elite,,Zil
Hildir Minibosses,GoblinShaman_Hildir_nochest,elite,,Zil
Hildir Minibosses,GoblinBrute_Hildir,elite,,Thungr
Hildir Minibosses,GoblinBruteBros,elite,,Thungr (brothers)
Hildir Minibosses,GoblinBruteBros_nochest,elite,,Thungr (brothers)
Bosses,Eikthyr,boss,,Eikthyr
Bosses,gd_king,boss,,The Elder
Bosses,Bonemass,boss,,Bonemass
Bosses,Dragon,boss,,Moder
Bosses,GoblinKing,boss,,Yagluth
Bosses,SeekerQueen,boss,,The Queen
Bosses,Fader,boss,,Fader
Bosses,FrozenKing_p3,boss,,The Frost King
